sample_id,site_id,site_name,sample_date
155835,28331,XN-SS-4146,2015-07-04
155836,28333,XN-SS-4163,2015-07-13
155837,28365,XS-SS-6095,2015-07-12
155838,28382,XS-SS-6132,2015-07-08
155839,10535,MN-LS-1008,2015-07-10
155840,10540,MN-LS-1017,2015-07-15
155841,10568,MN-SS-1125,2015-07-18
155842,10572,MN-SS-1137,2015-07-16
155843,11248,MS-LS-3005,2015-07-25
155844,11255,MS-LS-3017,2015-07-15
155845,11275,MS-SS-3100,2015-07-21
155846,11285,MS-SS-3114,2015-07-26
155847,13554,OT-RM-7084,2015-07-12
155848,13555,OT-RO-7091,2015-07-22
155849,13562,OT-SS-7109,2015-07-26
155850,13566,OT-SS-7116,2015-07-23
155851,13575,OT-SS-7150,2015-07-25
155852,13576,OT-SS-7153,2015-07-22
155853,28259,XE-RM-5074,2015-07-17
155854,28276,XE-SS-5140,2015-07-19
155855,28282,XE-SS-5154,2015-07-28
155856,28290,XN-LS-4010,2015-07-11
155857,28293,XN-LS-4014,2015-07-14
155858,28300,XN-LS-4026,2015-07-12
155859,10538,MN-LS-1014,2015-08-01
155860,10545,MN-LS-1022,2015-07-26
155861,10557,MN-RO-1086,2015-08-02
155862,10558,MN-SS-1097,2015-07-27
155863,10561,MN-SS-1105,2015-07-30
155864,10690,MP-SS-2097,2015-07-31
155865,10694,MP-SS-2102,2015-08-03
155866,10702,MP-SS-2113,2015-08-02
155867,13567,OT-SS-7122,2015-07-28
155868,13577,OT-SS-7154,2015-07-31
155869,13577,OT-SS-7154,2015-07-25
155870,28328,XN-SS-4136,2015-08-05
155871,28329,XN-SS-4143,2015-08-03
155872,10668,MP-RM-2051,2015-08-14
155873,10673,MP-RO-2062,2015-08-12
155874,11251,MS-LS-3009,2015-08-12
155875,11259,MS-LS-3023,2015-08-01
155876,11262,MS-LS-3027,2015-08-09
155877,11273,MS-SS-3095,2015-08-09
155878,11290,MS-SS-3127,2015-08-08
155879,13533,OT-LS-7005,2015-08-08
155880,13565,OT-SS-7115,2015-08-05
155881,13568,OT-SS-7128,2015-08-09
155882,28335,XN-SS-4165,2015-08-09
155883,10681,MP-SS-2082,2015-08-26
155884,10699,MP-SS-2108,2015-08-23
155885,11276,MS-SS-3101,2015-08-26
155886,13572,OT-SS-7140,2015-08-22
155887,28202,XE-LS-5023,2015-08-22
155888,28269,XE-SS-5106,2015-08-25
155889,10678,MP-SS-2078,2015-09-12
155890,10686,MP-SS-2090,2015-09-10
155891,10697,MP-SS-2106,2015-09-08
155892,11247,MS-LS-3003,2015-08-27
155893,28193,XE-LS-5007,2015-09-03
155894,28203,XE-LS-5025,2015-09-10
155895,28353,XS-LS-6040,2015-09-12
155896,28358,XS-RM-6072,2015-09-01
155897,28385,XS-SS-6144,2015-09-10
155898,10552,MN-RO-1081,2015-09-27
155899,10556,MN-RO-1085,2015-09-28
155900,28199,XE-LS-5018,2015-09-25
155901,28207,XE-LS-5031,2015-09-23
155902,28334,XN-SS-4164,2015-09-10
155903,11293,MS-SS-3132,2015-09-27
155904,13563,OT-SS-7112,2015-06-17
155905,28376,XS-SS-6117,2015-06-14
155906,28372,XS-SS-6111,2015-06-12
155907,28383,XS-SS-6133,2015-06-14
155908,28379,XS-SS-6121,2015-06-17
155909,28317,XN-SS-4104,2015-06-17
155910,28340,XS-LS-6007,2015-06-16
155911,28365,XS-SS-6095,2015-06-14
